,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Specialist Enchants,,,,,,,,,Protection,,,,,,Health,,,,,,Speed,,,,Armor Attribrutes,,,,,,,,,Weapon Base Stats,,,,,,Durability,,,,Melee Enchants,,,,,,,,,,,,,,Ranged Enchants,,,,,,,,,,,Tool Enchants,,,,,,,,,Water,,,,,,Misc.,,,,,,,,,,,,,Curses,,,,Epic Enchants,,,,,Indexing,,,,,Stored Values,
,Betrayer of the Blackflame,Isles,Patron,Wand,Iron Sword,Celsian Isles,,3,,,,,,"+55% Spell Power
16.0 Attack Damage
1.3 Attack Speed",Unbreaking 3,Quake 1,,,,Regicide 2,Two Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+55%,16.0,1.3,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,10,20,,,,10,20
,Black Sun Brew,Isles,Patron,Consumable,Potion,Celsian Isles,3,,,,,+10% Speed,,,,,,Infinity,,,,,"Haste 1, Speed 1 + Regen 1 for 13 secs, Starvation 5",,,,,,,,,,,,,,,,,,,,,,,,+10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,+10%,,10,20
,Bloom,Isles,Patron,Offhand Sword,Iron Sword,Celsian Isles,,,,,+4 Max Health,,"+30% Attack Damage
-0.30 Attack Speed
+8 Thorns",,Unbreakable,,,,,,,,,,,,,,,,,,,,,,,,,+4,,,,,,,,,,+30%,-0.30,,,,,,+8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,20,,-23%,10,20
,Bramble Blaster,Isles,Patron,Bow,Bow,Celsian Isles,2,,,,Regen 2,+16% Speed,+15% Magic Damage,"14.0 Proj Damage
1.0 Proj Speed",Unbreaking 4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,+16%,,,,,,+15%,,,,,,,,,14.0,1.0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,+16%,,10,20
,Carcano 91/38,Isles,Patron,Crossbow,Crossbow,Celsian Isles,,,,,,,,"16.0 Proj Damage
1.5 Proj Speed",Unbreaking 3,,Sniper 5,,,Regicide 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,1.5,,3,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Chains of Ice and Ivy,Isles,Patron,Leggings,Chainmail Leggings,Celsian Isles,6,,Poise 1,Magic Prot. 1,-20% Max Health,,"+5% Attack Damage
+10% Magic Damage",,Unbreaking 4,,,,,,,,,,,1,,,,,,,,,,1,,,,,-20%,,,,,,,,,+5%,,,+10%,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,-25,,,10,20
,Cobaltean Charm,Isles,Patron,Offhand,Compass,Celsian Isles,,4,,,"+4 Max Health
Regen 1",+18% Speed,"-80% Attack Damage
-25% Attack Speed
+4.0 Knockback Res.",,,,,,,,,,,,,,,,,,,,,,,,,,,+4,,1,,,,,+18%,,,-80%,,-25%,,,,+4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,20,+18%,-25%,10,20
,Crown of the Depths,Isles,Patron,Helmet,Chainmail Helmet,Celsian Isles,,7.5,,,,+15% Speed,,,Unbreaking 3,,,,"Abyssal 2
Gills",Darksight,,,,,,,,,,,,,,,,,,,,,,,,,,,+15%,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,10,20,,+15%,,10,20
,Curse of Alutana,Isles,Patron,Chestplate,Chainmail Chestplate,Celsian Isles,3,,Shielding 1,"Melee Prot. 2
Blast Prot. 2
Fire Prot. 2
Feather Falling 2","-2 Max Health
-10% Max Health",,"+25% Attack Damage
+0.10 Attack Speed",,Mending,,,,,,,,,,1,,,,,,,,,2,,,2,2,2,-2,-10%,,,,,,,,,+25%,+0.10,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,-22.5,,+8%,10,20
,Diamond Chiss Head,Isles,Patron,Helmet,Player Head,Celsian Isles,,7,,,,+10% Speed,+15% Attack Speed,,,,,,,Regicide 1,,,,,,,,,,,,,,,,,,,,,,,,,,,+10%,,,,,+15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,10,20,,+10%,+15%,10,20
,Dreambreaker,Isles,Patron,Pickaxe,Golden Pickaxe,Celsian Isles,,,,,,,,"4.0 Attack Damage
1.2 Attack Speed",Unbreakable,,,"Efficiency 3
Shrapnel 50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Eclipse Splitter,Isles,Patron,Mainhand Sword,Iron Sword,Celsian Isles,,,,,,,,"48.0 Attack Damage
0.4 Attack Speed",Unbreaking 4,"Smite 1
Sweeping Edge 5",,,,,Two Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,0.4,,,,4,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,20,,,,10,20
,Emblem of the Last Gift,Isles,Patron,Chestplate,Golden Chestplate,Celsian Isles,,5,Reflexes 1,,Sustenance 1,,,,Unbreaking 5,,,,,Second Wind 1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Enbee,Isles,Patron,Helmet,Player Head,Celsian Isles,,6,,,Sustenance 1,+5% Speed,,,,,,,,Inferno 2,,,,,,,,,,,,,,,,,,,,,,,,1,,,+5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,10,20,,+5%,,10,20
,Esoteric Fungus,Isles,Patron,Offhand,Crimson Fungus,Celsian Isles,,,Ethereal 1,,"+4 Max Health
Anemia 1",,+20% Magic Damage,,,,,,,,,,,,,,,,1,,,,,,,,,,,+4,,,,,1,,,,,,,,+20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,20,,,10,20
,Failnaught,Isles,Patron,Crossbow,Crossbow,Celsian Isles,,,,,,-80% Speed,+6.0 Knockback Res.,"8.0 Proj Damage
1.5 Proj Speed",Unbreaking 4,,"Quick Charge 4
Piercing 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80%,,,,,,,,,+6.0,,,,,,8.0,1.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,-80%,,10,20
,Fateweaver,Isles,Patron,Wand,Iron Hoe,Celsian Isles,,,Inure 1,,,,,"+50% Spell Power
15.5 Attack Damage
0.9 Attack Speed",Unbreaking 3,Knockback 1,,,,,Ineptitude 2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+50%,15.5,0.9,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,10,20,,,,10,20
,Friend (mainhand),Isles,Patron,Mainhand,Shield,Celsian Isles,,,,,Regen 3,"-10% Speed
Crippling 1","-30% Attack Damage
+2% Proj Damage",,,,,Shrapnel 100,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,-10%,,1,-30%,,,,+2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,-10%,,10,20
,Friend (offhand),Isles,Patron,Offhand Shield,Shield,Celsian Isles,-3,-2.5,,,"+1 Max Health
Regen 3","+0.003 Speed
Crippling 1",,,,,,Shrapnel 100,,,,,,,,,,,,,,,,,,,,,,+1,,3,,,,+0.003,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,5,+3%,,10,20
,Frigid Rupture,Isles,Patron,Crossbow,Crossbow,Celsian Isles,,,,,,,,"20.0 Proj Damage
1.2 Proj Speed",Unbreaking 3,,"Ice Aspect 2
Piercing 2
Recoil 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,1.2,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Frodian Doors (mainhand),Isles,Patron,Mainhand,Shield,Celsian Isles,,,,,Regen 2,-100% Speed,+10.0 Knockback Res.,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,-100%,,,,,,,,,+10.0,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,-100%,,10,20
,Frodian Doors (offhand),Isles,Patron,Offhand Shield,Shield,Celsian Isles,,,,,"+5 Max Health
Regen 2",,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,,,,,+5,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,25,,,10,20
,Frodian Light of Unbalance,Isles,Patron,Wand,Blaze Rod,Celsian Isles,,,,,,,,"+50% Spell Power
22.0 Attack Damage
1.0 Attack Speed",,"Smite 3
Fire Aspect 2",,,,,Two Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+50%,22.0,1.0,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,20,,,,10,20
,Frodian Saving Grace,Isles,Patron,Axe,Iron Axe,Celsian Isles,,,,,"Regen 1
Life Drain 2",,,"11.0 Attack Damage
1.0 Attack Speed",Mending,"Thunder Aspect 2
Knockback 4",,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,11.0,1.0,,,,,1,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Frodian Yeetcannon,Isles,Patron,Crossbow,Crossbow,Celsian Isles,,,,,,Adrenaline 3,,"12.0 Proj Damage
1.0 Proj Speed",Unbreaking 3,Knockback 3,"Punch 3
Infinity
Quick Charge 1
Recoil 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,12.0,1.0,,3,,,,,,,,,,3,,,,,,,,,,,,,3,1,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Gas Mask,Isles,Patron,Helmet,Player Head,Celsian Isles,,2,,,,+18% Speed,,,,,,,"Respiration 3
Aqua Affinity
Depth Strider 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,+18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,10,20,,+18%,,10,20
,Gilded Gauntlet,Isles,Patron,Wand,Gold Ingot,Celsian Isles,,,Ethereal 1,,,Adrenaline 2,,"+50% Spell Power
5.0 Attack Damage
4.0 Attack Speed",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,+50%,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Glacial Cabbage,Isles,Patron,Consumable,Dried Kelp,Celsian Isles,3,,,,,,+3.0 Knockback Res.,,,"Ice Aspect 2
Knockback 1",,Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+3.0,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Heart Phinim,Isles,Patron,Crossbow,Crossbow,Celsian Isles,,,,,,,,"16.0 Proj Damage
3.0 Proj Speed",Unbreaking 5,,"Ice Aspect 2
Infinity
Quick Charge 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,3.0,,5,,,,,,,,,,,,,,,,,,,,,2,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Heaven's Lullaby,Isles,Patron,Chestplate,Golden Chestplate,Celsian Isles,2,,,Feather Falling 2,+20% Max Health,+20% Speed,"+15% Attack Damage
-20% Attack Speed",,Mending,,,,,,,,,,,,,,,,,,,,,,,,2,,+20%,,,,,,+20%,,,+15%,,-20%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,25,+20%,-20%,10,20
,Heiress' Rapier,Isles,Patron,Wand,Iron Sword,Celsian Isles,,,,,,,,"+55% Spell Power
9.0 Attack Damage
1.6 Attack Speed",Unbreaking 5,"Duelist 3
Fire Aspect 2
Thunder Aspect 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+55%,9.0,1.6,,,,5,,,,,,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Hippolyta's Revenge,Isles,Patron,Bow,Bow,Celsian Isles,,,,,,,,"20.0 Proj Damage
1.2 Proj Speed",Unbreaking 3,,Ice Aspect 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,1.2,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Ichimonji,Isles,Patron,Trident,Trident,Celsian Isles,,,Tempo 1,,,,,"22.0 Attack Damage
1.2 Attack Speed
26.0 Proj Damage
1.0 Proj Speed
1.2 Throw Rate",Unbreaking 3,"Ice Aspect 2
Thunder Aspect 2",,,,,Two Handed,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1.2,26.0,1.0,1.2,3,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,20,,,,10,20
,Imminent Requiem,Isles,Patron,Bow,Bow,Celsian Isles,,,,Projectile Prot. 3,Regen 1,,,"8.0 Proj Damage
2.0 Proj Speed",Unbreaking 1,,"Sniper 7
Punch 3",,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,8.0,2.0,,1,,,,,,,,,,,,,,,,,,7,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Incredibly Harmful Tome,Isles,Patron,Helmet,Leather Helmet,Celsian Isles,,9,,,"-4 Max Health
Sustenance 1",,+10% Magic Damage,,Unbreaking 15,,,,,Second Wind 1,,,,,,,,,,,,,,,,,,,,-4,,,,1,,,,,,,,,+10%,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,10,20,-20,,,10,20
,Indomitable,Isles,Patron,Chestplate,Golden Chestplate,Celsian Isles,8.5,,,,+2 Max Health,-40% Speed,+6.0 Knockback Res.,,Unbreaking 6,,,,,,,,,,,,,,,,,,,,,,,,,+2,,,,,,,-40%,,,,,,,,,+6.0,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,10,-40%,,10,20
,Iron Pipe,Isles,Patron,Scythe,Iron Hoe,Celsian Isles,2,,,,,Adrenaline 2,,"7.0 Attack Damage
2.0 Attack Speed",Unbreaking 3,Knockback 1,,,,Second Wind 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,7.0,2.0,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Jeans of the Fire Eagle,Isles,Patron,Leggings,Leather Leggings,Celsian Isles,,5,,"Melee Prot. 2
Magic Prot. 3
Fire Prot. 2",,+15% Speed,,,Mending,,,,,,,,,,,,,,,,,,,2,,3,,2,,,,,,,,,+15%,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,+15%,,10,20
,Jeweled Bunny Flippers,Isles,Patron,Boots,Chainmail Boots,Celsian Isles,3.79,,,Feather Falling 6,,-6% Speed,-9% Attack Speed,,Unbreakable,,,,Depth Strider 3,,,,,,,,,,,,,,,,,,,,6,,,,,,,,-6%,,,,,-9%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,10,20,,-6%,-9%,10,20
,Leggings of Insanity,Isles,Patron,Leggings,Chainmail Leggings,Celsian Isles,8.5,,,"Blast Prot. 4
Fire Prot. 1
Feather Falling 3",-2 Max Health,-5% Speed,+18% Attack Speed,,Unbreaking 4,,,,,,,,,,,,,,,,,,,,,,4,1,3,-2,,,,,,,-5%,,,,,+18%,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,-10,-5%,+18%,10,20
,Longtime Sunshine,Isles,Patron,Scythe,Iron Hoe,Celsian Isles,,,,,,,,"9.0 Attack Damage
1.0 Attack Speed",Unbreaking 2,"Smite 2
Hex Eater 2",,,,Inferno 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,,,2,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Luck of the Draw,Isles,Patron,Sword,Golden Sword,Celsian Isles,2.5,,Inure 1,,,,,"17.0 Attack Damage
1.1 Attack Speed",Unbreaking 30,"Decay 2
Bleeding 1
Quake 2",,,,,Two Handed,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.1,,,,30,,,,,,,,,,,,2,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,20,,,,10,20
,Madman's Leggings,Isles,Patron,Leggings,Golden Leggings,Celsian Isles,6,,,Feather Falling 5,,+20% Speed,,,Unbreaking 6,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,+20%,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,+20%,,10,20
,Mask of the Father,Isles,Patron,Helmet,Player Head,Celsian Isles,0.5,,Poise 1,,,+15% Speed,"+20% Attack Damage
+10% Attack Speed
+3.0 Knockback Res.",,,,,,,Regicide 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,+15%,,,+20%,,+10%,,,,+3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,10,20,,+15%,+10%,10,20
,Memory Maker,Isles,Patron,Crossbow,Crossbow,Celsian Isles,,,Evasion 1,,,,+15% Magic Damage,"6.0 Proj Damage
1.0 Proj Speed",Unbreaking 3,,Quick Charge 3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,+15%,,,,,,,,,6.0,1.0,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Midas Tooth,Isles,Patron,Scythe,Golden Hoe,Celsian Isles,,,,,Life Drain 2,,,"8.0 Attack Damage
1.4 Attack Speed",Unbreaking 30,"Bleeding 2
Quake 1",,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,8.0,1.4,,,,30,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Mitten of Madness,Isles,Patron,Scythe,Golden Hoe,Celsian Isles,,,,"Melee Prot. 3
Magic Prot. 3",,,+15% Magic Damage,"15.0 Attack Damage
1.5 Attack Speed",Unbreakable,Fire Aspect 1,,,,Inferno 3,Two Handed,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,+15%,,,,,,,15.0,1.5,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,10,20,,,,10,20
,Moon's Shadow,Isles,Patron,Mainhand Sword,Stone Sword,Celsian Isles,,,,"Melee Prot. 2
Magic Prot. 1",Regen 1,,,"10.0 Attack Damage
1.6 Attack Speed",Unbreaking 5,,,,,,,,,,,,,,,,,,,2,,1,,,,,,1,,,,,,,,,,,,,,,,,,10.0,1.6,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Necronomicon,Isles,Patron,Misc,Book,Celsian Isles,,,,,,,,,,,,,,,,,Spend EXP to disperse negative effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Nightfall,Isles,Patron,Mainhand Sword,Iron Sword,Celsian Isles,,,,Melee Prot. 2,,,,"7.0 Attack Damage
1.6 Attack Speed",Unbreaking 2,Duelist 4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.6,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Nightsister,Isles,Patron,Offhand Shield,Shield,Celsian Isles,,3.5,,,,+15% Speed,+4.0 Knockback Res.,,Mending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+15%,,,,,,,,,+4.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,+15%,,10,20
,Ordinary Staff,Isles,Patron,Wand,Blaze Rod,Celsian Isles,,,,,,,,+55% Spell Power,,Fire Aspect 3,,,,Inferno 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+55%,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Parrot Plume Pinion,Isles,Patron,Chestplate,Leather Chestplate,Celsian Isles,,2,,Feather Falling 7,+10% Max Health,+20% Speed,"-10% Attack Damage
-10% Attack Speed",,Unbreaking 15,,,,,,,,,,,,,,,,,,,,,,,,7,,+10%,,,,,,+20%,,,-10%,,-10%,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,12.5,+20%,-10%,10,20
,Perfect Christallizer,Isles,Patron,Misc,Totem of Undying,Celsian Isles,,,,,,,,,,,,,,,,,Perfect Crystallizer enhancement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,Peripatetic Sandals,Isles,Patron,Boots,Leather Boots,Celsian Isles,,3,,Feather Falling 7,,+20% Speed,,,Unbreakable,,,,Depth Strider 3,,,,,,,,,,,,,,,,,,,,7,,,,,,,,+20%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,10,20,,+20%,,10,20
,Persistent Chains,Isles,Patron,Leggings,Chainmail Leggings,Celsian Isles,4,,,Blast Prot. 2,Regen 1,"+10% Speed
Adrenaline 1",+10% Attack Damage,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,+10%,1,,+10%,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,+10%,,10,20
,Plaguebaron's Scythe,Isles,Patron,Scythe,Wooden Hoe,Celsian Isles,,,,,,,,"5.0 Attack Damage
2.0 Attack Speed",Unbreaking 15,"Fire Aspect 1
Ice Aspect 1
Decay 1
Hex Eater 1
Bleeding 1
Quake 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,,,15,,,,,,,1,1,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
,plate,Isles,Patron,Misc,Bowl,Celsian Isles,,,,,,,,,,,,,,,,,dumb useless item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,10,20
